Name,ID,Category,Food_Category,Energy Kcal,carb_g,protein_g,fat_g,fibre_g,Water,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,manganese_mg,zinc_mg,Vitamin A ug,Vitamin E_mg,Vitamin d3_ug,Vitamin k1_ug,Vitamin B9_ug,Vitamin B1 mg,Vitamin B2 mg,Vitamin B3 mg,Vitamin B5 mg,Vitamin B6 mg,Vitamin B9 ug,Vitamin c mg,Source
Paneer soup,10564,Others,Soups,47.85,2.42,3.22,2.8,0.28,91.28,82.76,56.74,6.55,68.03,27.66,0.3,0.03,3.96,0.1,0.47,0,0.17,0,5.16,17.44,0.01,0.02,0.05,0.1,0.02,17.44,1.24,Indian Nutrient Databank (INDB)
Curried Cauliflower soup,10565,Others,Soups,37.32,3.12,6.72,9.77,2.34,78.05,37.25,74.48,33.71,7311.44,333.51,2.12,0.06,0.23,0.43,0.35,17.89,0.14,0,5.01,15.26,0.02,0.03,0.19,0.22,0.06,15.26,14.91,Indian Nutrient Databank (INDB)
Millet soup,10566,Others,Soups,55.99,8.22,11.26,12.57,2.82,65.13,65.21,138.85,48.47,10918.83,382.18,2.74,0.11,3.97,0.42,0.7,3.7,0.26,0,3.82,11.4,0.05,0.06,0.22,0.19,0.06,11.4,1.83,Indian Nutrient Databank (INDB)
Lemon coriander soup,10567,Others,Soups,108.06,10.32,2.27,6.26,6.77,74.38,102.57,62.72,54.52,219.17,368.81,3.47,0.23,1,0.77,0.79,0,2.22,0,28.27,25.66,0.05,0.06,0.45,0.23,0.11,25.66,17.69,Indian Nutrient Databank (INDB)
Garlic soup,10568,Others,Soups,194.86,6.99,2.38,17.62,1.66,71.35,60.55,56.66,18.08,179.26,247.47,0.73,0.06,0.31,0.15,0.34,121.25,0.71,0,8.14,15.17,0.04,0.1,0.49,0.32,0.09,15.17,7.72,Indian Nutrient Databank (INDB)
Dal makhani,10569,Others,Mains,74.04,7.96,3.32,3.06,2.27,83.39,20.62,58.31,27.39,41.85,199.4,1.23,0.11,3.15,0.6,0.48,30.85,0.11,0.01,6.33,21.27,0.04,0.03,0.37,0.41,0.05,21.27,2.6,Indian Nutrient Databank (INDB)
Dalma,10570,Others,Mains,118.93,15.04,4.91,4.58,2.16,73.31,54.28,85.46,43.25,49.35,390.38,2.1,0.24,1.3,0.85,0.77,0,0.62,0,6.83,52.09,0.1,0.07,0.71,0.49,0.15,52.09,13.89,Indian Nutrient Databank (INDB)
Split bengal gram dal (Channa dal),10571,Others,Mains,99.67,9.99,4.15,4.62,3.72,77.52,21.99,66.01,29.5,46.4,232.72,1.92,0.18,8.83,0.67,0.77,31.95,0.28,0,5.13,35.41,0.07,0.04,0.5,0.34,0.07,35.41,4.58,Indian Nutrient Databank (INDB)
Horsegram dal (Kulthi dal) ,10572,Others,Mains,55.65,8.21,2.91,1.13,1.52,86.23,38.22,42.18,23.01,63.63,173.06,1.3,0.18,3.62,0.47,0.39,0,0.53,0,5.09,23.86,0.05,0.03,0.34,0.24,0.05,23.86,3.87,Indian Nutrient Databank (INDB)
Panchmel dal,10573,Others,Mains,111.22,10.71,4.63,5.36,3.2,76.1,23.05,72.53,32.49,79.46,269.92,1.42,0.19,7.56,0.46,0.66,44.44,0.36,0,10.7,26.45,0.08,0.04,0.53,0.39,0.07,26.45,2.82,Indian Nutrient Databank (INDB)
Dal dhokli,10574,Others,Mains,68.74,8.55,2.96,2.47,1.86,84.16,14.54,53.6,23.63,37.53,152.23,0.79,0.14,3.78,0.31,0.45,0,0.63,0,7.39,13.46,0.07,0.02,0.67,0.18,0.05,13.46,0.82,Indian Nutrient Databank (INDB)
Gujarati handvo ,10575,Others,Snacks,207.09,31.86,8.24,4.8,4.95,50.15,68.21,151.08,47.32,308.55,411.2,2.03,0.3,9.94,0.75,1.25,4.92,1.54,0,21.46,53.71,0.15,0.1,1.18,0.74,0.15,53.71,4.51,Indian Nutrient Databank (INDB)
Sev (Omapodi/Karapusa),10576,Others,Snacks,609.14,12.87,5.12,60.08,2.35,19.58,13.95,49.98,14.55,53.19,71.96,0.72,0.07,0.92,0.38,0.34,0,29.56,0,6,43.29,0.1,0.04,0.44,0.28,0.1,43.29,0,Indian Nutrient Databank (INDB)
Papdi,10577,Others,Snacks,708.96,12.89,1.83,72.11,0.56,12.61,6.06,20.1,6.63,28.91,31.06,0.44,0.04,0.01,0.12,0.16,0,35.45,0,5.13,2.89,0.03,0.01,0.14,0.12,0.01,2.89,0.02,Indian Nutrient Databank (INDB)
Jowar dosa,10578,Others,Mains,294.35,40.53,8.5,10.28,5.56,35.13,19.46,166.78,71.56,97.25,339.77,2.03,0.29,11.24,0.72,1.27,0,4.71,0,12.77,29.13,0.16,0.06,1.32,0.77,0.15,29.13,0,Indian Nutrient Databank (INDB)
Soya seekh kebab,10579,Others,Snacks,115.05,10,5.4,5.88,2.24,76.48,15.67,69.89,28.77,92.25,306.02,1.26,0.16,0.69,0.41,0.61,0,2.42,0,8.31,25.16,0.1,0.03,0.74,0.31,0.11,25.16,14.98,Indian Nutrient Databank (INDB)
Classic seasoned black beans,10580,Others,Mains,28.78,7.66,8.01,8.28,3.51,72.54,40.11,58.86,23.45,7989.07,201.49,1.9,0.04,0.04,0.16,0.23,0,0.08,0,1.19,2.62,0.01,0,0.06,0.03,0.02,2.62,4.84,Indian Nutrient Databank (INDB)
Maa chaane ki dal,10581,Others,Mains,344.67,43.11,19.8,9.5,13.45,14.14,68.65,298.93,123.32,43.31,923.92,5.97,0.71,37.74,1.62,3.08,57.57,0.55,0,6.72,126.32,0.29,0.14,1.84,1.79,0.24,126.32,1.76,Indian Nutrient Databank (INDB)
Garlic chickpea soup (Lahasun aur chane ka shoraba),10582,Others,Soups,89.53,13.92,4.45,2.01,2.84,76.78,13.93,55.94,18.79,79.73,177.33,0.96,0.15,0.01,0.89,0.61,0,0.24,0,5.5,119.6,0.11,0.05,0.4,0.37,0.13,119.6,4.16,Indian Nutrient Databank (INDB)
Channa murmura premix,10583,Others,Snacks,339.09,72.59,10.59,3.28,8.21,5.33,21.36,106.4,45.21,206.28,344.3,4.58,0.17,0,0.64,1.01,0,0.03,0,0.7,0,0.08,0.03,1.31,0.27,0.05,0,0,Indian Nutrient Databank (INDB)
Vegetable soup,10584,Others,Soups,55.21,7.6,2.22,1.55,3.01,85.62,18.1,34.35,20.85,170.68,274.69,0.63,0.09,0.51,0.2,0.36,15.03,0.21,0,22.26,24.54,0.09,0.02,0.7,0.34,0.11,24.54,23.2,Indian Nutrient Databank (INDB)
Poha with curd (Poha aur dahi),10585,Others,Mains,173.32,26.72,6.01,4.65,1.09,61.53,140.9,172.39,36.72,325.07,249.94,1.61,0.08,1.41,0.3,0.91,45.42,0.12,0,0.56,14.74,0.07,0.2,0.59,0.48,0.07,14.74,0.68,Indian Nutrient Databank (INDB)
Sweet wheat porridge (Sweet dalia),10586,Others,Desserts,140.66,23.77,5.11,2.79,2.37,65.96,99.18,84.58,36.02,24.63,265.94,1.98,0.11,3.63,0.34,0.51,0,0.35,0,54.38,31.95,0.07,0.09,0.2,0.32,0.14,31.95,6.16,Indian Nutrient Databank (INDB)
Vegetable khichdi/khichri,10587,Others,Mains,143.17,19.57,5.61,4.53,2.45,67.84,100.54,128.91,41.88,193.55,384.87,1.09,0.16,5.04,0.44,0.74,45.68,0.39,0,64.46,45.51,0.11,0.14,0.68,0.49,0.13,45.51,7.1,Indian Nutrient Databank (INDB)
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),10588,Others,Mains,167.45,22.35,7.56,5.52,3.74,60.83,123.04,113.4,35.47,224.95,340.86,2.17,0.13,5.86,0.36,0.75,56.02,0.41,0,74.2,44.8,0.09,0.16,0.33,0.4,0.1,44.8,7.3,Indian Nutrient Databank (INDB)
Lemon squash (Nimbu ka squash),10589,Beverages,Beverages,184.56,48.88,0.15,0.06,0,50.91,9.85,3.54,2.79,15.01,30.02,0.18,0.06,0.31,0,0.08,0,0,0,0,2.15,0.01,0,0.03,0.04,0.02,2.15,10.46,Indian Nutrient Databank (INDB)
Orange squash (Santre ka squash),10590,Beverages,Beverages,193.26,50.88,0.22,0.04,0.4,48.46,10.62,4.43,4.35,14.85,52.78,0.34,0.06,0.06,0.01,0.06,0,0.01,0,0.77,5.99,0.02,0.01,0.09,0.06,0.01,5.99,13.14,Indian Nutrient Databank (INDB)
Lichi squash,10591,Beverages,Beverages,198.33,51.96,0.3,0.08,0.41,47.25,6.39,7.63,5.43,14.56,51.86,0.34,0.09,0.14,0.01,0.12,0,0.02,0,2.4,4.83,0.01,0.02,0.07,0.06,0.02,4.83,10.4,Indian Nutrient Databank (INDB)
Mango squash (Aam ka squash),10592,Beverages,Beverages,194.66,50.96,0.17,0.17,0.58,48.12,9.47,3.87,5.05,14.81,46.63,0.25,0.09,0.59,0.07,0.08,0,0.09,0,1.47,25.24,0.01,0.01,0.08,0.04,0.04,25.24,10.14,Indian Nutrient Databank (INDB)
Pineapple squash (Ananas ka squash),10593,Beverages,Beverages,195.02,51.34,0.16,0.05,1.06,47.39,7.96,4.63,4.85,14.84,46.32,0.18,0.08,0.02,0.39,0.08,0,0.14,0,0.74,5.6,0.02,0.01,0.04,0.04,0.04,5.6,11.19,Indian Nutrient Databank (INDB)
Lemon and ginger squash (Nimbu aur adrak ka squash),10594,Beverages,Beverages,170.34,44.06,0.54,0.21,1.07,54.12,11.18,11.27,12.95,16.19,101.4,0.52,0.07,0.2,0.77,0.14,0,0.06,0,5.11,3.56,0.01,0.01,0.1,0.07,0.05,3.56,7.88,Indian Nutrient Databank (INDB)
Guava jelly (Amrood ki jelly),10595,Others,Desserts,115.74,28.18,1.11,0.25,6.61,63.85,16.55,18.34,12.2,3.36,218.85,0.29,0.15,1.42,0.17,0.2,0,0.07,0,2.83,22.89,0.04,0.03,0.46,0.19,0.08,22.89,164.62,Indian Nutrient Databank (INDB)
Orange marmalade (Santray ka murabba),10596,Others,Desserts,104.17,25.94,0.66,0.13,1.97,71.3,17.59,11.99,9.87,2.31,148.92,0.63,0.06,0.36,0.04,0.08,0,0.04,0,2.18,17.08,0.05,0.02,0.27,0.17,0.04,17.08,56.25,Indian Nutrient Databank (INDB)
Carrot murabba (Gajar ka murabba),10597,Others,Desserts,175.24,45.6,0.32,0.16,1.39,52.53,15.86,14.77,6.41,19.53,93.08,0.28,0.08,0.07,0.08,0.13,0,0.07,0,6.12,8.01,0.01,0.01,0.07,0.1,0.04,8.01,2.07,Indian Nutrient Databank (INDB)
Gooseberry marmalade (Amla murabba),10598,Others,Desserts,123.16,32.34,0.14,0.03,0,67.49,16.4,5.73,0.96,216.89,64.52,0.38,0.08,0,0,0.03,0,0,0,0,0,0.01,0,0.05,0,0,0,0,Indian Nutrient Databank (INDB)
Ginger candy (Adrak ki candy),10599,Others,Snacks,195.71,50.38,0.69,0.27,1.67,46.99,10.43,14.32,17.99,5.4,129.45,0.68,0.09,0,1.2,0.17,0,0.1,0,7.98,3.38,0.01,0.01,0.13,0.08,0.06,3.38,1.7,Indian Nutrient Databank (INDB)
Mango pickle (Aam ka achaar),10600,Others,Sides,192.12,8.11,1.6,17.89,3.68,68.72,48.97,34.15,32.75,3429.94,206.92,1.44,0.12,0.22,0.39,0.3,0,0.64,0,11.88,19.04,0.03,0.04,0.6,0.11,0.14,19.04,61.2,Indian Nutrient Databank (INDB)
Mixed vegetable pickle (Sabziyoon ka achaar),10601,Others,Sides,211.2,7.48,1.9,19.68,2.76,68.18,42.81,47.44,33.01,2488.32,283.15,2.12,0.14,1.75,0.59,0.36,0,0.27,0,14.04,15.91,0.05,0.05,0.51,0.14,0.14,15.91,30.37,Indian Nutrient Databank (INDB)
Sweet lemon pickle (Neembu ka meetha achaar),10602,Others,Sides,69.54,16.87,1.22,0.21,2.13,79.57,42.57,10.68,21.98,6415.9,148.65,1.02,0.08,0.98,0.24,0.13,0,0.03,0,4.6,5.18,0.02,0.01,0.09,0.09,0.04,5.18,22.19,Indian Nutrient Databank (INDB)
Plum chutney (Aloo bukhara ki chutney),10603,Others,Sides,177.11,44.95,0.47,0.29,1.37,52.92,12.38,10.42,7.31,216.81,101.56,0.34,0.26,0.44,0.19,0.13,0,0.25,0,5.16,7.26,0.01,0.01,0.28,0.08,0.04,7.26,1.12,Indian Nutrient Databank (INDB)
Raw mango chutney (Kachhe aam/Kairi ki chutney),10604,Others,Sides,193.13,49.94,0.51,0.16,2.17,47.22,25.92,11.26,14.1,480.68,105.51,0.48,0.11,0.06,0.38,0.14,0,0.51,0,9.38,14.68,0.01,0.02,0.22,0.08,0.09,14.68,50.23,Indian Nutrient Databank (INDB)
Tomato puree,10605,Others,Sides,20.62,3.68,0.75,0.25,1.56,93.76,8.91,15.29,12.19,244.99,165.74,0.22,0.04,0,0.09,0.11,0,0.22,0,23.86,15.24,0.04,0.02,0.5,0.18,0.08,15.24,25,Indian Nutrient Databank (INDB)
Garam masala,10606,Others,Sides,254.21,26.2,9.89,10.97,35.56,17.38,609.77,228.03,318.39,58.33,1501.8,14.51,1.23,6.6,14.33,3.37,0,1.12,0,85.31,20.68,0.23,0.17,1.31,0.28,0.17,20.68,9,Indian Nutrient Databank (INDB)
Chat masala,10607,Others,Sides,222.58,23.87,8.19,9.91,18.62,39.41,519.5,221.15,247.9,11873.64,1051.15,13.27,0.77,2.24,2.57,2.49,0,0.7,0,61.97,13.32,0.26,0.11,1.52,0.12,0.16,13.32,6.5,Indian Nutrient Databank (INDB)
Kashmiri masala,10608,Others,Sides,389.02,23.16,8.26,31.03,12.12,25.43,303.49,199.18,183.44,3106.14,1020.75,14.72,0.59,5.15,6.14,2.1,0,0.51,0,38.34,16.74,0.2,0.17,2.47,0.43,0.16,16.74,2.02,Indian Nutrient Databank (INDB)
Rasam powder (Rasam masala),10609,Others,Sides,267.96,25.19,12.04,11.8,35.71,15.26,562.15,269.78,288.95,38.78,1524.9,14.72,1.4,8.91,3.68,3.09,0,1.02,0,88.15,33.09,0.25,0.2,1.67,0.39,0.16,33.09,11.65,Indian Nutrient Databank (INDB)
Sambar powder (Sambar masala),10610,Others,Sides,297.46,23.38,12.5,15.58,34.56,13.98,439.95,262.73,247.04,27.66,1350.05,12.63,1.24,14.99,3.01,3,0,0.85,0,70.77,48.87,0.23,0.24,1.74,0.49,0.17,48.87,10.29,Indian Nutrient Databank (INDB)
Cumin seeds baghar (Jeera baghar/tadka),10611,Others,Sides,736.81,5.22,3.34,78.77,6.01,6.66,177.77,85.31,86.42,177.58,420.92,5.09,0.28,0.62,0.94,0.97,709.23,4.66,0,26.53,5.35,0.1,0.07,0.98,0.07,0.14,5.35,1.27,Indian Nutrient Databank (INDB)
Onion tomato baghar (Pyaaz tamatar ka tadka),10612,Others,Sides,137.52,6.17,1.26,11.98,2.12,78.47,20.45,26.94,16.74,31.33,174.16,0.63,0.09,0.17,0.2,0.26,109.32,0.8,0,12.1,20.2,0.04,0.02,0.46,0.22,0.1,20.2,15.89,Indian Nutrient Databank (INDB)
Mustard seeds baghar (Mustard seed tadka),10613,Others,Sides,552.59,10.45,4.73,54.3,9.74,20.78,182.93,89.97,91.77,8.9,553.41,4.14,0.28,9.61,0.79,0.7,489.38,3.7,0,109.65,37.88,0.15,0.18,1.53,0.23,0.2,37.88,1.28,Indian Nutrient Databank (INDB)
Marmalade (Murabba),10614,Others,Desserts,143.76,37.64,0.23,0.04,0.43,61.66,9.84,4.63,4.35,2.16,56.33,0.34,0.05,0.06,0.01,0.05,0,0.01,0,0.83,6.49,0.02,0.01,0.09,0.07,0.01,6.49,14.24,Indian Nutrient Databank (INDB)
Plum squash (Aloo bukhara squash),10615,Beverages,Beverages,211.17,55.51,0.16,0.1,0.52,43.71,6.9,3.96,2.97,12.71,43.01,0.16,0.16,0.14,0.01,0.08,0,0.12,0,2.12,3.57,0,0,0.11,0.04,0.01,3.57,0.56,Indian Nutrient Databank (INDB)
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),10616,Others,Sides,14.07,2.14,0.85,0.24,1.07,95.7,20.05,14.76,23.19,7559.38,138,0.55,0.04,0.64,0.04,0.13,0,0.04,0,3.07,7.93,0.03,0.02,0.21,0.11,0.08,7.93,36.87,Indian Nutrient Databank (INDB)
Brinjal pickle (Baingan ka achaar),10617,Others,Sides,139.01,4.23,2.24,12.98,4.62,75.93,37.28,62.11,40.36,3507.59,305.87,2.16,0.14,2.73,0.49,0.46,0,0.17,0,12.68,28.93,0.07,0.11,0.81,0.26,0.11,28.93,1.54,Indian Nutrient Databank (INDB)
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),10618,Others,Sides,60.88,6.55,1.26,3.24,2.2,86.75,15.18,29.37,21.26,1281.94,203.12,0.54,0.07,1.15,0.31,0.2,0,0.22,0,24.39,16.34,0.05,0.04,0.58,0.2,0.1,16.34,20.93,Indian Nutrient Databank (INDB)
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),10619,Others,Sides,91.21,6.32,1.98,6.55,5.08,80.07,54.31,76.16,36.57,2067.33,341.4,2.32,0.12,3.28,0.56,0.51,0,0.3,0,17.59,24.64,0.06,0.05,0.56,0.29,0.14,24.64,5.18,Indian Nutrient Databank (INDB)
Tomato chutney (Tamatar ki chutney),10620,Others,Sides,176.07,31.85,0.97,6.01,1.49,59.68,25.34,21.47,17.52,823.65,157.35,0.96,0.1,0.02,0.24,0.23,0,0.13,0,14.96,10.87,0.03,0.03,0.47,0.14,0.08,10.87,14.29,Indian Nutrient Databank (INDB)
